id,price
89224365f8,433448.97030107287
363731333f,271079.7322130859
6e6283378a,490050.2011753875
4c29a27f44,1043206.0902162289
7b16cf224b,475231.7858589904
c0c699ebcc,382434.1495083373
d36b41a815,188570.94620662672
9be92984b9,384067.37871952105
f774771058,288191.69368535304
0c4add382a,1485248.4079869406
8d6b937f00,357084.56101076386
eb15c43587,625649.7573668495
b3bffc4413,701784.019515686
edf9c48708,380916.3291785604
50a0189faf,328815.5776162819
de4b79dead,282985.8789486007
152f94bd3b,670525.5586793708
b7736872b6,668670.7397469229
db0b5c7a47,747047.5886348013
a8dd281b11,307349.00687116315
281151242b,588873.9829763274
2db79d7c7c,293478.7950963253
fe82d83b82,1043206.0902162289
d7db923b3c,259881.61144588838
bc9bd0ab2b,389618.0180840682
7ca2b5fb45,439781.9671971224
191c9ed2b9,297286.1528153184
38de2dc1a8,289827.80864174693
55f24b8f6c,1610900.6835284755
38e7d3b079,279189.1242785402
53bd232479,791472.1155319323
b579f925a4,517547.1407260163
92cc3536ed,1057034.8110904999
396f8c27da,495159.36092011497
b6c02471bc,314230.53453856707
31131a56a0,298601.57613918977
ac739b93d5,228558.9168612788
1c84ae825b,269078.26286104874
236c77bef3,872519.1516792558
b94781bf65,320118.1251588999
ee0f074d18,259484.78955119383
491209a97a,867601.3806209752
6838647e07,354108.73047240055
a8ce91143d,279179.7679962593
97b93cb9da,326138.7777336684
27d4c81c61,578213.5804064801
a6afcab962,204304.3956581979
9155022909,435592.6488020666
d18c0d9701,181866.10996955622
ea4fcf21b2,342553.87787975185
f84a19b7f0,440139.2790810742
557181a32f,707890.1398819552
04a7335370,262021.40148231792
a8f690dd33,309696.5081190341
3c87bab291,435036.51341313496
4db9e2e999,366410.2424335098
14dd393119,486981.11035295826
f397d1c3b5,167969.08575626527
416abf241b,548466.1107554941
cd7b9e6892,291265.02758428187
1bbdeca9cc,392678.5382926871
28d30af69a,417501.349471542
7081ae7078,373582.0378849212
dee4cf0f73,1416750.289300267
15eef1b505,358742.84981864336
acb50155fd,281635.1719027683
2989f6a68f,736110.3306264698
8c918e75e8,848855.5549262422
0eb180afce,473800.876096665
dc7117940f,197548.81569596415
5910aa1a2d,714814.0242782742
f86d1b5388,1754680.6190353127
4c85b0d740,347102.7554998756
ff0092b0c1,280500.5771967002
10d4de0e3e,325929.4785588834
e41469f158,454765.26845138863
d462677f58,402630.2155506254
205cf47efe,589936.284510113
949ad84b01,395003.72644201363
17cad21fb5,548782.6245175396
0ae1dec453,292212.91529206483
137d164658,972928.315221075
5c6da2065f,712955.2387137745
bd033b0ec3,408413.3891965518
3436eeafc5,424577.0759144627
93c1417483,569888.0772316115
dfb1e61375,334856.6562723374
a62f4d13fc,570918.6445935976
e3d7f24801,774154.4389413912
ae76df42b2,546835.2748721738
b9c8a85608,347030.63631523564
75f38e54ec,318990.2714893017
563b7c6a40,555358.2715669184
cb571ac25e,220929.6653785069
2a666915d8,555674.9601780095
4fb8049c7d,296117.5838304465
c544a227e0,240369.33172016335
a46066f9f8,461815.45241385954
bfe043389e,497620.7732834064
3bd565b61e,499589.49910225417
c5e1be1f7d,273075.78787539597
faa8c88b65,289439.0001951068
a3ac65d1ca,633384.7886404821
ce705fc4c7,547330.2243490496
1ac15cc6fa,700840.7477188279
b54552d300,432533.01081118005
e00f04559d,249880.72162932137
773eb2f828,448744.752530231
cb901c7b32,257419.98570220597
d5313e55e2,951262.7547917673
291b9ec5e3,381391.889075797
8455444608,333844.55941619317
926ade7128,457841.36275142
8e46a4196e,323462.89461290464
0eb1822417,411343.6196595885
60e46bc58b,468369.0023780394
1bdeeb0ec4,546454.4354540335
4e8d7af890,521686.45246854017
cbbb0ff025,309099.5133271907
860eb7f67d,889245.4268322052
